Genes (Variables) ,Aged,APP,DAM 1,DAM 2,Microglía AQP4 AC neonatal,MgnD,WAM,LDAM,CD11c,PAM,ATM
Spp1,1,0.542429717477134,1,0.979861496662713,1,1,0.658464180916281,-0.503794977246479,0.848994849984669,1,1
Gpnmb,0.433015498946762,1,0.385751042500081,0.899947582405052,0.593451219283979,1.15399162255327,0,0,1,0.73105914490063,0.501418690142906
Atp6v0d2,0.00170082548249877,0.390812439438061,0,1,0.568655008784284,0.684143949632892,0.428314947421702,0.122649638388553,0.926962223523489,0.208740292456222,0.1439877749819
Ccl9,-0.0842970400717393,-0.0993631445241556,0.276254071320279,0.0208953766636182,0.381052152262165,0.0298736780716811,0,-0.0158963788798264,0.220080521860884,0.157983439438371,0.258752051025854
Gpr34,-0.0944694257998784,-0.102118664862638,-0.235390016950685,-0.124671028258247,0.324909185591995,-0.0333405791678936,0.0778424179394577,0.0155028452837268,-0.038958744817498,0,-0.245221077095234
Fus,0.0571437771399388,0.0129339465635875,0.217314042633456,-0.0846576133154498,0.40472014815075,-0.0459612722842556,0,-0.305776459910013,-0.0682024679219445,0,-0.159355966965511
Olfml3,-0.0772376964944316,-0.0938235814777406,-0.0360316079261845,-0.0993351666707426,0.311803823971466,0.0898979204664728,1,-0.0760646090323263,-0.0707240129471191,0,-0.205295297667432
Bcl2a1b,0,0,0.108846041421739,0.181540011563558,0.307597865324509,0.210533958406671,0,0.0495080494524254,0.0708229922219034,0,0
Retsat,-0.0414513555951042,0.0541766415385827,-0.264134471170455,0.0596963494799501,0.305955579799497,0.142556741323013,0,-0.010375875697862,0.0756372693514149,0,0
Fcgr3,-0.0444950618612355,-0.0540806839432697,-0.0337188033726133,0.032823177852392,0.28705072759119,0.102890074594824,0,0.119323167025821,0.0678353871486642,0,0
Plek,0.0933362480673962,0.119608471816742,0.112790540537647,0.057882579007469,0.285165281064316,0.191886471502347,0,0.0702533082857026,0.114926124885857,0.32387416671917,0.106784131681583
Mpeg1,0,0,0.230638141687738,0.122572337667163,0.284100479463466,0.241033842002389,0,-0.359003337596209,0.103056272636997,0,0.160164583995642
Ccl3,0.873685584581199,0.0113713798397217,0.890370829149987,0.576069301333158,0.278389478745776,0.376088063293076,0,-0.085326151834533,0.145151424394064,0.229336408778052,0
Tlr7,0.000586299723725943,-0.0280552621452376,-0.0955124666914184,-0.0712361593731448,0.260414831836584,0.0206414255026764,0,-0.0401569333041478,0.0196561888247377,0.0938756514721202,0
Dapp1,-0.060879232206428,-0.0911137441503551,-0.146049592555065,-0.142096477648551,0.255953674209119,-0.205818432374665,0,-0.0241396653647986,-0.0708147777642611,-0.172464061699816,-0.100894646067298
Tlr13,-0.0195992733358686,-0.0687939145642917,-0.113671767897253,-0.143396097949607,0.233486556026413,-0.0311952984015439,0,-0.0215279499935903,0.00795975547124253,0,0
Hpse,0.101600134217603,0.601923034486515,0.177339665640563,1.03850539131307,0.233459552462974,1.14167000781464,0,0,0.577700151915469,0.326996137126785,0.181715723498329
Tyrobp,0.053629667973778,0.115819309451372,0.205980266576374,0.267278241243225,0.232608450020835,0.408164231135832,1.4553079562424,0.104374215106955,0.117099862522115,0,0
Egr1,0.438421508299666,0.08553639524921,-0.296263224961614,-0.0720222742954189,0.225958776425175,-0.304346367104198,0,-0.180289100186831,0.0968371165520152,0,0
Cd68,0.0172840149661277,0.164359395784223,0.182466486367086,0.20186047895177,0.221501655641706,0.316173008492038,0,0.0287942640725391,0.051547772704567,0.230391076856684,0.143157410290492
Rabep2,-0.00844463454904387,0.0172360202360549,-0.191903666338475,-0.198592781856322,0.219452695950159,-0.0122594029149586,0,-0.0824769136439981,0.00990477484166246,0,0
Naip5,-0.0154908700978754,-0.0766462507027483,-0.0664986500172737,-0.0767753849854427,0.219303798301571,0.000622969632681488,0,-0.0416776550705239,0.0452045060281124,0,0
Slc38a6,0,0,0.0354502406360817,0.108612310446693,0.218878568373755,0.0880164148573716,0,-0.162763635036626,0.0690311098926292,0,0
Lag3,0.187202318427366,0.0207022181406,0.138503606371531,0.0987212000837435,0.213000165978349,0.110487861920253,0,0.216083509266952,0.251422275985224,0.322925787087292,0.200661084767875
Clec7a,0.690422553963311,0.544984569699703,0.876031018924707,0.715520459950541,0.212583140682946,0.695317185330222,0.314539208964243,-0.247916917941719,0.535997787389454,0.211959814251632,0
Lilrb4a,0,0,0,0,0.211914634091228,0,0,0,0,0,0.24426337178582
Zfp52,-0.021392414036404,-0.0343139754183275,0.0937956889961889,-0.266732105405309,0.206862324912874,-0.113444026328048,0,0.477388727374893,0.05698206717786,0,0
Igf1,0.183348186086876,0.70138052335057,1.00888358817754,0.943413420121905,0.206814195507621,1.04744424311883,0,-1,0.499366673777718,0.427601988140583,0.471662143101598
Lyz2,0,0,0.361990773934521,0.275411058926123,0.203852571522013,0.442873131722719,1.98238179647732,0.127594927229609,0.307762097437386,-0.268460473632501,0.258838902669096
C3ar1,0.0479228844467256,0.0225703101973554,0.176936642839356,0.0858426620942611,0.202480343559514,0.0644865596540453,0,0.0122930484415721,0.116364531458502,0.251479805795277,0.103713924998505
Ctsz,0.0783207102467062,0.108947507222691,0.274311870066569,0.232467677057498,0.201623944022203,0.33507332770197,1.77810724216581,0.0155516796356491,0.0993583634560222,0.279853132311724,0.175347903782045
Fcgr2b,0.093915274719955,0.0362118986602449,0.00909729116348689,-0.0372229224624734,0.200517033302201,0.1681700252623,0,0.0186501402396445,0.0740777178961713,0,-0.10768101841453
Mthfsl,0,0,0,0,0.199719381214178,0,0,0,0,0,0
Tmem126b,0.00420430417127355,-0.00381156588740864,-0.545554770674381,-0.328406013485431,0.198307177747752,0.0376561180725413,0,-0.00455317075127433,-0.0159106784791841,0,0
Fcrls,0,0,0.0110252522505307,0.0422675667241979,0.19148856776609,0.105539786857623,0.825370321061602,0.0562939114294469,0.0196015211908877,0.177470305917083,0
Hps4,-0.0355583968610311,-0.100791673880596,-0.0930389988996352,-0.098661250877989,0.190455922998619,-0.0176704579716123,0,-0.0390616152575276,-0.032841375927515,0,-0.121839354488278
Pfkp,-0.0231577284766783,-0.00208380349223702,0,-0.332619897458461,0.18868450464151,0.00249928873549384,0,0.31381808320841,0.133130777133341,0,0
Anxa3,0.131079059752947,0.000772532079761941,0.194926563372748,0.170275832380705,0.187928212013656,0.1991277253128,0,0.095694444221839,0.0139384322876567,0,0
Cox7b,0.0429175024802873,0.0129895395363736,0.00495166863636124,0.0667385239798381,0.179039953058179,0.190023647399482,0.12688384413946,0.016682001154903,0.095149742898606,0,0
Clec5a,0.00384402924200312,0.00539514924108648,-0.0483300508805985,-0.0847546154565626,0.177092643088204,-0.0208923804036391,0,-0.0721750597718266,0.051180043101231,0,0
Cd180,0.132544151028281,0.030920036980787,0.0876435087401936,0.0468467938204874,0.155634824871637,0.14089552434248,0,-0.102436704380099,0.0132226979993961,0.131679576932485,0
Hexb,-0.0372990374363409,-0.0837284981832825,0.00535211702220702,-0.0138128078606863,0.13764450900131,0.0548701136939364,1.5069103541848,0.0368444198158119,0.0398189917313224,0,-0.110371286374705
